
Image Name                     PID Session Name        Session#    Mem Usage
powershell.exe               22512 Console                    1     52,036 K
cmd.exe                      24412 Console                    1      5,808 K
conhost.exe                   1440 Console                    1      9,648 K
OpenConsole.exe              24880 Console                    1     15,712 K
WindowsTerminal.exe          10696 Console                    1   1,10,668 K
WhatsApp.exe                 22784 Console                    1   1,19,976 K
RuntimeBroker.exe            24196 Console                    1     29,368 K
svchost.exe                   2872 Services                   0      9,784 K
svchost.exe                  14056 Services                   0      8,612 K
chrome.exe                    4984 Console                    1     61,112 K
chrome.exe                    4900 Console                    1     52,376 K
HPSystemEventUtilityHost.    18452 Console                    1     54,936 K
WmiPrvSE.exe                  7356 Services                   0     18,716 K
WmiApSrv.exe                 22704 Services                   0     11,704 K
conhost.exe                  13516 Console                    1      8,868 K
powershell.exe                6952 Console                    1     70,584 K
python.exe                   12708 Console                    1     18,984 K
svchost.exe                  26352 Services                   0     18,256 K
svchost.exe                  23928 Services                   0      8,584 K
svchost.exe                  17548 Services                   0      7,560 K
ShellHost.exe                26280 Console                    1     71,924 K
chrome.exe                   26524 Console                    1     61,092 K
chrome.exe                    2708 Console                    1     73,936 K
chrome.exe                    8440 Console                    1     30,564 K
tasklist.exe                 23308 Console                    1     11,712 K
