*************************
Information of currently running processes. 
*************************
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 11688, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'msedgewebview2.exe', 'vms': 38.2109375}
{'pid': 11984, 'username': None, 'name': 'RtkAudUService64.exe', 'vms': 25.546875}
{'pid': 12032, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'msedgewebview2.exe', 'vms': 8.16015625}
{'pid': 12072, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'HPSystemEventUtilityBackground.exe', 'vms': 39.4296875}
{'pid': 12280, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'Code.exe', 'vms': 14.2734375}
{'pid': 12284, 'username': None, 'name': 'svchost.exe', 'vms': 1.8671875}
{'pid': 12396, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'browserhost.exe', 'vms': 7.23828125}
{'pid': 12404, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'RuntimeBroker.exe', 'vms': 33.53125}
{'pid': 12696, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'svchost.exe', 'vms': 3.95703125}
{'pid': 12708, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'python.exe', 'vms': 11.578125}
{'pid': 12952, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'ApplicationFrameHost.exe', 'vms': 104.19921875}
{'pid': 13024, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'msedgewebview2.exe', 'vms': 2.3359375}
{'pid': 13164, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'StartMenuExperienceHost.exe', 'vms': 101.76171875}
{'pid': 13172, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'chrome.exe', 'vms': 10.71484375}
{'pid': 13184, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'SearchHost.exe', 'vms': 84.26171875}
{'pid': 13240, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'svchost.exe', 'vms': 3.80859375}
{'pid': 13344, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'HPMediaNetwork.exe', 'vms': 39.6640625}
{'pid': 13516, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'conhost.exe', 'vms': 2.25}
